"","studentid","surveydate","age","ehpw","hpw","hsleep","gpa","imp","gender","job","type","marital.status"
"93",37965,2018-03-10,24,22,24,5.43,78.12,5,"male","unempl","full-time","single"
"94",55987,2018-05-12,30,23,20,5.86,58.51,1,"male","unempl","full-time","divorced"
"95",46338,2018-05-18,25,18,18,6.86,66.73,1,"female","empl","part-time","single"
"96",19659,2018-02-09,23,20,22,6,69.82,2,"male","unempl","full-time","single"
"97",42654,2018-02-21,20,22,19,6.14,58.65,5,"female","empl","part-time","single"
"98",9294,2018-02-18,21,18,24,6,78.47,2,"male","unempl","full-time","single"
"99",11520,2018-01-30,24,20,22,6,71.12,1,"male","unempl","full-time","single"
"100",43960,2018-04-18,26,17,19,6.86,61.34,1,"female","empl","part-time","divorced"
"101",20074,2018-05-02,29,24,21,5.57,57.95,2,"male","unempl","full-time","divorced"
"102",42721,2018-04-18,25,18,25,5.86,79.07,2,"male","unempl","full-time","single"
"103",97960,2018-02-03,32,26,20,5.43,59.41,1,"male","unempl","full-time","divorced"
"104",82807,2018-04-23,28,20,21,6.14,60.82,1,"male","unempl","full-time","divorced"
"105",28668,2018-04-06,25,22,23,5.57,66.59,5,"male","unempl","full-time","single"
"106",59530,2018-02-23,28,26,20,5.43,46.76,2,"male","unempl","full-time","divorced"
"107",89802,2018-01-07,27,17,20,6.71,63.57,4,"male","unempl","full-time","divorced"
"108",45290,2018-03-05,28,17,21,6.57,65.41,1,"male","unempl","full-time","divorced"
"109",14726,2018-01-13,24,19,22,6.14,73.85,5,"male","unempl","full-time","single"
"110",12854,2018-02-19,23,22,19,6.14,63.65,1,"female","empl","part-time","single"
"111",2463,2018-02-21,19,21,20,6.14,69.59,3,"male","unempl","full-time","single"
"112",73550,2018-01-13,20,18,24,6,77.29,2,"male","unempl","full-time","single"
"113",37295,2018-01-24,19,21,19,6.29,53.43,5,"female","empl","part-time","single"
"114",57373,2018-01-25,28,20,18,6.57,53.66,3,"female","empl","part-time","divorced"
"115",82439,2018-05-25,30,21,26,5.29,76.39,2,"male","unempl","full-time","divorced"
"116",81276,2018-04-21,31,21,24,5.57,77.21,5,"male","unempl","full-time","divorced"
"117",87169,2018-05-10,25,22,22,5.71,59.3,1,"male","unempl","full-time","single"
"118",11043,2018-04-16,21,23,23,5.43,59.27,2,"male","unempl","full-time","single"
"119",95158,2018-02-04,32,22,19,6.14,62.66,5,"female","empl","part-time","divorced"
"120",56833,2018-03-15,23,17,19,6.86,57.61,2,"female","empl","part-time","single"
"121",3683,2018-04-24,34,22,20,6,63.72,3,"male","unempl","full-time","divorced"
"122",24500,2018-05-10,19,21,16,6.71,55.93,5,"female","empl","part-time","single"
"123",97770,2018-05-10,23,19,17,6.86,44.95,1,"female","empl","part-time","single"
"124",88465,2018-02-01,19,17,21,6.57,72.36,5,"male","unempl","full-time","single"
"125",24069,2018-04-05,26,19,22,6.14,79.13,2,"male","unempl","full-time","divorced"
"126",75627,2018-03-09,28,22,19,6.14,57.76,3,"female","empl","part-time","divorced"
"127",56213,2018-04-11,25,20,20,6.29,69.29,1,"male","unempl","full-time","single"
"128",30472,2018-03-08,25,18,21,6.43,80.56,5,"male","unempl","full-time","single"
"129",69277,2018-05-20,19,18,22,6.29,76.17,4,"male","unempl","full-time","single"
"130",33552,2018-02-20,27,23,21,5.71,72,3,"male","unempl","full-time","divorced"
"131",20585,2018-02-19,27,19,23,6,66.29,3,"male","unempl","full-time","divorced"
"132",91808,2018-03-19,21,20,23,5.86,81.27,3,"male","unempl","full-time","single"
"133",2279,2018-02-23,24,22,20,6,56.26,2,"male","unempl","full-time","single"
"134",96248,2018-02-05,25,21,19,6.29,54.32,3,"female","empl","part-time","single"
"135",31545,2018-05-12,22,21,25,5.43,76.74,1,"male","unempl","full-time","single"
"136",66471,2018-03-27,21,22,21,5.86,62.33,5,"male","unempl","full-time","single"
"137",53282,2018-01-16,29,23,17,6.29,46.84,2,"female","empl","part-time","divorced"
"138",81668,2018-01-18,26,21,19,6.29,55.75,2,"female","empl","part-time","divorced"
"139",18501,2018-04-01,21,21,21,6,65.57,1,"male","unempl","full-time","single"
"140",39897,2018-03-27,23,21,21,6,72.88,3,"male","unempl","full-time","single"
"141",17821,2018-03-19,35,21,19,6.29,57.65,5,"female","empl","part-time","divorced"
"142",28504,2018-02-20,21,22,14,6.86,39.65,3,"female","empl","part-time","single"
"143",62858,2018-04-18,31,21,13,7.14,41.02,5,"female","empl","part-time","divorced"
"144",29968,2018-05-17,28,27,20,5.29,56.02,3,"male","unempl","full-time","divorced"
"145",44304,2018-05-14,29,21,18,6.43,53.24,3,"female","empl","part-time","divorced"
"146",72915,2018-02-12,20,16,15,7.57,60.21,4,"female","empl","part-time","single"
"147",66719,2018-04-06,23,20,18,6.57,52.13,1,"female","empl","part-time","single"
"148",31120,2018-05-12,28,22,18,6.29,52.7,5,"female","empl","part-time","divorced"
"149",47787,2018-04-04,19,15,19,7.14,70.86,3,"female","empl","part-time","single"
"150",29098,2018-02-01,26,24,26,4.86,68.22,2,"male","unempl","full-time","divorced"
"151",18191,2018-05-03,27,25,15,6.29,46.85,1,"female","empl","part-time","divorced"
"152",36022,2018-01-20,24,21,17,6.57,54.12,5,"female","empl","part-time","single"
"153",90243,2018-05-21,26,22,21,5.86,56.09,2,"male","unempl","full-time","divorced"
"154",39345,2018-02-18,25,16,17,7.29,59.26,3,"female","empl","part-time","single"
"155",77868,2018-04-13,31,17,22,6.43,79.88,1,"male","unempl","full-time","divorced"
"156",28372,2018-02-11,29,21,20,6.14,64.08,2,"male","unempl","full-time","divorced"
"157",85239,2018-01-26,24,24,23,5.29,66.22,5,"male","unempl","full-time","single"
"158",17198,2018-01-17,27,17,16,7.29,53.87,5,"female","empl","part-time","divorced"
"159",7914,2018-03-11,27,15,19,7.14,61.08,5,"female","empl","part-time","divorced"
"160",29161,2018-01-07,17,22,24,5.43,68.54,3,"male","unempl","full-time","single"
"161",83903,2018-06-01,24,20,22,6,72.08,2,"male","unempl","full-time","single"
"162",94375,2018-03-22,26,20,20,6.29,64.54,1,"male","unempl","full-time","divorced"
"163",4490,2018-02-27,22,20,24,5.71,68.72,1,"male","unempl","full-time","single"
"164",75715,2018-05-19,24,19,21,6.29,66.61,4,"male","unempl","full-time","single"
"165",29641,2018-04-30,23,17,17,7.14,60.09,5,"female","empl","part-time","single"
"166",64999,2018-05-01,27,24,25,5,66.53,5,"male","unempl","full-time","divorced"
"167",8485,2018-05-21,24,22,19,6.14,64.37,1,"female","empl","part-time","single"
"168",97386,2018-01-29,31,24,25,5,76.38,1,"male","unempl","full-time","divorced"
"169",1361,2018-05-05,23,20,17,6.71,57.65,1,"female","empl","part-time","single"
"170",53796,2018-03-28,23,25,22,5.29,61.65,5,"male","unempl","full-time","single"
"171",96414,2018-03-20,33,22,22,5.71,72.11,2,"male","unempl","full-time","divorced"
"172",10091,2018-01-18,33,15,18,7.29,62.89,1,"female","empl","part-time","divorced"
"173",25631,2018-04-03,30,29,21,4.86,50.86,4,"male","unempl","full-time","divorced"
"174",89360,2018-05-22,23,25,21,5.43,59.93,2,"male","unempl","full-time","single"
"175",38727,2018-01-30,27,21,19,6.29,59.12,3,"female","empl","part-time","divorced"
"176",79290,2018-03-25,25,17,17,7.14,65.26,2,"female","empl","part-time","single"
"177",34879,2018-04-16,29,21,15,6.86,37.33,3,"female","empl","part-time","divorced"
"178",13850,2018-05-04,23,18,24,6,76.2,1,"male","unempl","full-time","single"
"179",64936,2018-01-30,26,22,21,5.86,65.66,1,"male","unempl","full-time","divorced"
"180",54304,2018-03-31,20,16,21,6.71,75.67,4,"male","unempl","full-time","single"
"181",94355,2018-02-01,29,19,21,6.29,75.8,4,"male","unempl","full-time","divorced"
"182",57072,2018-02-18,19,22,18,6.29,58.84,3,"female","empl","part-time","single"
"183",95190,2018-01-26,24,14,16,7.71,54.49,4,"female","empl","part-time","single"
"184",77883,2018-01-16,21,18,18,6.86,68.7,5,"female","empl","part-time","single"
"185",11807,2018-02-10,26,26,20,5.43,52.98,4,"male","unempl","full-time","divorced"
"186",83557,2018-02-23,31,26,20,5.43,50.85,2,"male","unempl","full-time","divorced"
"187",8700,2018-05-15,25,22,22,5.71,64.18,5,"male","unempl","full-time","single"
"188",74721,2018-01-20,27,24,22,5.43,67.14,2,"male","unempl","full-time","divorced"
"189",6506,2018-02-24,16,17,19,6.86,62.29,4,"female","empl","part-time","single"
"190",7755,2018-02-21,26,23,21,5.71,58.91,1,"male","unempl","full-time","divorced"
"191",10489,2018-03-16,33,20,25,5.57,81.9,4,"male","unempl","full-time","divorced"
"192",40591,2018-05-15,22,20,23,5.86,64.56,4,"male","unempl","full-time","single"
"193",97310,2018-02-20,18,18,12,7.71,46.64,2,"female","empl","part-time","single"
"194",16452,2018-03-30,29,25,18,5.86,45.53,5,"female","empl","part-time","divorced"
"195",50208,2018-04-22,20,19,22,6.14,70.25,1,"male","unempl","full-time","single"
"196",20117,2018-03-03,26,18,23,6.14,72.62,3,"male","unempl","full-time","divorced"
"197",19934,2018-05-11,28,17,22,6.43,82.7,3,"male","unempl","full-time","divorced"
"198",17779,2018-05-24,22,23,20,5.86,59.81,1,"male","unempl","full-time","single"
"199",27333,2018-03-07,29,23,28,4.71,82.28,4,"male","unempl","full-time","divorced"
"200",13037,2018-02-14,27,22,25,5.29,78.38,2,"male","unempl","full-time","divorced"
"201",85698,2018-04-26,24,21,19,6.29,58.61,5,"female","empl","part-time","single"
"202",64387,2018-05-16,26,26,19,5.57,47.21,1,"female","empl","part-time","divorced"
"203",60159,2018-02-24,21,17,21,6.57,73.68,2,"male","unempl","full-time","single"
"204",97001,2018-03-19,26,20,17,6.71,49.61,4,"female","empl","part-time","divorced"
"205",37589,2018-05-15,26,17,24,6.14,77.63,3,"male","unempl","full-time","divorced"
"206",81744,2018-03-03,27,19,19,6.57,65.26,3,"female","empl","part-time","divorced"
"207",22628,2018-04-25,25,22,17,6.43,48.56,1,"female","empl","part-time","single"
"208",20609,2018-04-19,18,16,17,7.29,59.16,5,"female","empl","part-time","single"
"209",19389,2018-05-14,21,19,17,6.86,53.14,3,"female","empl","part-time","single"
"210",24007,2018-01-06,26,19,19,6.57,64.34,1,"female","empl","part-time","divorced"
"211",97767,2018-04-26,33,21,17,6.57,53.5,3,"female","empl","part-time","divorced"
"212",52315,2018-03-17,30,22,15,6.71,54.27,5,"female","empl","part-time","divorced"
"213",82462,2018-04-02,31,20,15,7,40.37,2,"female","empl","part-time","divorced"
"214",66946,2018-02-02,22,19,18,6.71,55,1,"female","empl","part-time","single"
"215",97563,2018-01-05,20,27,16,5.86,44.59,2,"female","empl","part-time","single"
"216",5753,2018-06-03,26,22,19,6.14,68.95,3,"female","empl","part-time","divorced"
"217",33602,2018-02-09,23,22,17,6.43,45.73,2,"female","empl","part-time","single"
"218",1258,2018-01-19,30,22,25,5.29,72.71,4,"male","unempl","full-time","divorced"
"219",36207,2018-04-19,27,20,23,5.86,74.15,2,"male","unempl","full-time","divorced"
"220",20924,2018-04-27,29,22,17,6.43,50.89,5,"female","empl","part-time","divorced"
"221",15179,2018-02-20,29,21,25,5.43,79.18,3,"male","unempl","full-time","divorced"
"222",93375,2018-05-09,24,24,20,5.71,51.88,4,"male","unempl","full-time","single"
"223",40021,2018-03-03,26,22,24,5.43,69.66,1,"male","unempl","full-time","divorced"
"224",48476,2018-04-05,28,13,29,6,94.7,5,"male","unempl","full-time","single"
"225",67996,2018-02-23,24,17,22,6.43,75.91,1,"male","unempl","full-time","single"
"226",85212,2018-04-24,25,15,20,7,69.39,1,"male","unempl","full-time","single"
"227",91086,2018-05-30,24,19,21,6.29,70.23,5,"male","unempl","full-time","single"
"228",47478,2018-01-13,24,19,17,6.86,66.41,3,"female","empl","part-time","single"
"229",71206,2018-02-07,22,23,21,5.71,64.7,3,"male","unempl","full-time","single"
"230",82786,2018-02-27,23,24,20,5.71,56.09,4,"male","unempl","full-time","single"
"231",67425,2018-02-21,26,26,17,5.86,45.69,5,"female","empl","part-time","divorced"
"232",33892,2018-03-07,20,22,23,5.57,68.27,3,"male","unempl","full-time","single"
"233",88877,2018-03-21,27,22,22,5.71,72.66,5,"male","unempl","full-time","divorced"
"234",52760,2018-04-08,20,23,23,5.43,58.93,1,"male","unempl","full-time","single"
"235",87230,2018-04-03,29,27,21,5.14,56.33,1,"male","unempl","full-time","divorced"
"236",25805,2018-05-23,24,24,22,5.43,58.19,2,"male","unempl","full-time","single"
"237",54117,2018-04-01,27,24,22,5.43,62.31,3,"male","unempl","full-time","divorced"
"238",21549,2018-02-19,26,22,19,6.14,57.09,3,"female","empl","part-time","divorced"
"239",21621,2018-03-17,28,27,23,4.86,66.36,1,"male","unempl","full-time","divorced"
"240",47291,2018-04-05,26,17,24,6.14,87.38,3,"male","unempl","full-time","single"
"241",89060,2018-01-11,26,23,18,6.14,63.12,5,"female","empl","part-time","divorced"
"242",30099,2018-04-27,17,25,20,5.57,68.15,1,"male","unempl","full-time","single"
"243",55388,2018-04-12,26,19,23,6,70.61,1,"male","unempl","full-time","divorced"
"244",75339,2018-01-11,26,19,13,7.43,51.18,4,"female","empl","part-time","divorced"
"245",95410,2018-04-21,30,22,25,5.29,78.05,4,"male","unempl","full-time","divorced"
"246",95198,2018-02-25,23,18,20,6.57,67.12,2,"male","unempl","full-time","single"
"247",33255,2018-02-19,21,14,22,6.86,75.97,1,"male","unempl","full-time","single"
"248",51541,2018-06-05,31,15,20,7,70.82,2,"male","unempl","full-time","divorced"
"249",14783,2018-04-29,25,24,24,5.14,67.33,5,"male","unempl","full-time","single"
"250",35594,2018-04-22,21,24,18,6,56.36,4,"female","empl","part-time","single"
"251",70281,2018-02-05,26,23,22,5.57,62.59,4,"male","unempl","full-time","divorced"
"252",8021,2018-02-10,32,19,18,6.71,52.91,1,"female","empl","part-time","divorced"
"253",25093,2018-04-13,32,26,23,5,65.65,3,"male","unempl","full-time","divorced"
"254",5131,2018-04-08,29,18,20,6.57,68.59,1,"male","unempl","full-time","divorced"
"255",73665,2018-02-10,18,18,28,5.43,91.82,2,"male","unempl","full-time","single"
"256",1373,2018-03-23,26,18,20,6.57,60.92,2,"male","unempl","full-time","divorced"
"257",4225,2018-01-07,17,21,17,6.57,50.57,4,"female","empl","part-time","single"
"258",28110,2018-03-16,24,19,21,6.29,62.82,2,"male","unempl","full-time","single"
"259",4062,2018-05-19,26,23,21,5.71,57.32,1,"male","unempl","full-time","divorced"
"260",63065,2018-05-31,24,25,17,6,51.94,4,"female","empl","part-time","single"
"261",75288,2018-04-30,20,18,16,7.14,59.56,3,"female","empl","part-time","single"
"262",5082,2018-05-27,28,19,19,6.57,64.4,4,"female","empl","part-time","divorced"
"263",62802,2018-03-29,21,18,15,7.29,60.38,3,"female","empl","part-time","single"
"264",35617,2018-04-08,23,22,20,6,63.13,1,"male","unempl","full-time","single"
"265",80601,2018-05-28,23,22,19,6.14,57.73,2,"female","empl","part-time","single"
"266",66989,2018-04-17,25,27,19,5.43,46.86,1,"female","empl","part-time","single"
"267",2183,2018-01-09,25,24,20,5.71,53.41,5,"male","unempl","full-time","single"
"268",68770,2018-01-28,31,18,18,6.86,58.72,1,"female","empl","part-time","divorced"
"269",88498,2018-03-29,30,16,15,7.57,58.68,2,"female","empl","part-time","divorced"
"270",53577,2018-02-01,30,17,18,7,53.71,4,"female","empl","part-time","divorced"
"271",88264,2018-01-02,27,20,17,6.71,53.56,4,"female","empl","part-time","divorced"
"272",91170,2018-04-25,26,20,15,7,45.75,4,"female","empl","part-time","divorced"
"273",84668,2018-05-27,21,27,17,5.71,35.91,2,"female","empl","part-time","single"
"274",29271,2018-05-27,32,22,22,5.71,64.05,2,"male","unempl","full-time","divorced"
"275",78204,2018-01-30,29,16,16,7.43,51,4,"female","empl","part-time","divorced"
"276",49235,2018-02-26,23,19,19,6.57,68.02,3,"female","empl","part-time","single"
"277",97987,2018-01-16,26,20,20,6.29,69.42,2,"male","unempl","full-time","divorced"
"278",24253,2018-01-13,29,19,21,6.29,71.89,1,"male","unempl","full-time","divorced"
"279",7280,2018-01-31,23,26,13,6.43,43.34,2,"female","empl","part-time","single"
"280",23102,2018-02-11,30,24,20,5.71,58.95,3,"male","unempl","full-time","divorced"
"281",27913,2018-01-20,24,20,16,6.86,47,1,"female","empl","part-time","single"
"282",96824,2018-01-02,27,20,19,6.43,54.46,1,"female","empl","part-time","divorced"
"283",65714,2018-01-04,29,20,18,6.57,59.73,1,"female","empl","part-time","divorced"
"284",66822,2018-03-04,27,25,22,5.29,60.67,3,"male","unempl","full-time","divorced"
"285",20925,2018-01-26,34,28,19,5.29,45.97,4,"female","empl","part-time","divorced"
"286",98780,2018-02-28,32,22,18,6.29,52.41,3,"female","empl","part-time","divorced"
"287",53257,2018-03-11,26,17,23,6.29,69.65,2,"male","unempl","full-time","divorced"
"288",57273,2018-06-07,24,24,26,4.86,71.54,4,"male","unempl","full-time","single"
"289",77002,2018-05-10,31,21,19,6.29,57.79,1,"female","empl","part-time","divorced"
"290",35606,2018-04-18,22,22,18,6.29,53.29,1,"female","empl","part-time","single"
"291",25592,2018-04-15,32,19,16,7,52.36,2,"female","empl","part-time","divorced"
"292",31553,2018-04-05,27,21,24,5.57,75.55,3,"male","unempl","full-time","divorced"
"293",74227,2018-01-17,25,22,24,5.43,68.05,4,"male","unempl","full-time","single"
"294",49821,2018-04-11,29,25,15,6.29,46.54,1,"female","empl","part-time","divorced"
"295",70673,2018-02-11,31,24,24,5.14,63.45,3,"male","unempl","full-time","divorced"
"296",41368,2018-04-02,20,21,21,6,62.89,3,"male","unempl","full-time","single"
"297",20929,2018-06-03,19,17,19,6.86,62.73,1,"female","empl","part-time","single"
"298",8063,2018-05-13,22,22,24,5.43,71.84,1,"male","unempl","full-time","single"
"299",15882,2018-04-15,29,26,22,5.14,64.78,4,"male","unempl","full-time","divorced"
"300",50259,2018-03-05,26,21,21,6,65.85,5,"male","unempl","full-time","divorced"
"301",83294,2018-01-16,31,17,15,7.43,51.75,4,"female","empl","part-time","divorced"
"302",48599,2018-02-20,22,25,16,6.14,56.39,1,"female","empl","part-time","single"
"303",43143,2018-06-07,20,19,20,6.43,63.52,1,"male","unempl","full-time","single"
"304",87803,2018-04-25,27,18,24,6,72.85,4,"male","unempl","full-time","divorced"
"305",76259,2018-04-19,28,23,24,5.29,68.49,2,"male","unempl","full-time","divorced"
"306",5470,2018-04-10,29,20,18,6.57,59.94,4,"female","empl","part-time","divorced"
"307",19861,2018-05-07,24,21,18,6.43,56.9,5,"female","empl","part-time","single"
"308",68472,2018-03-27,27,19,18,6.71,60.92,4,"female","empl","part-time","divorced"
"309",89649,2018-05-17,22,21,17,6.57,52.97,1,"female","empl","part-time","single"
"310",4560,2018-06-05,19,26,16,6,39.19,4,"female","empl","part-time","single"
"311",8935,2018-04-04,25,25,18,5.86,39.91,1,"female","empl","part-time","single"
"312",43951,2018-01-09,29,25,21,5.43,67.9,5,"male","unempl","full-time","divorced"
"313",77554,2018-03-25,34,18,16,7.14,59.12,4,"female","empl","part-time","divorced"
"314",13965,2018-04-08,26,23,18,6.14,53.75,3,"female","empl","part-time","divorced"
"315",67662,2018-01-26,25,23,19,6,65.55,5,"female","empl","part-time","single"
"316",4745,2018-05-29,26,15,24,6.43,91.87,3,"male","unempl","full-time","single"
"317",60374,2018-01-16,19,18,22,6.29,76.87,2,"male","unempl","full-time","single"
"318",44872,2018-05-09,21,19,20,6.43,59.45,1,"male","unempl","full-time","single"
"319",74541,2018-06-06,21,26,24,4.86,64.21,1,"male","unempl","full-time","single"
"320",17659,2018-04-12,31,19,22,6.14,73.77,2,"male","unempl","full-time","divorced"
"321",65277,2018-02-09,21,23,17,6.29,49.51,1,"female","empl","part-time","single"
